rank,title,description,runtime(min),genre,rating,metascore,votes,gross,director,actors
71.,Scary Stories to Tell in the Dark,"On Halloween 1968, Stella and her two friends meet a mysterious drifter, Ramón, and uncover a sinister notebook of stories.",108,"Adventure, Horror, Mystery",6.2,61.0,"45,382",$4.57M,André Øvredal,"Zoe Margaret Colletti, Michael Garza, Gabriel Rush, Austin Abrams"
72.,Valley of the Gods,"Entwines Navajo lore with a reclusive trillionaire and his would-be biographer, creating a fascinating, mysterious and idiosyncratic vision of America.",126,Drama,4.3,,"123,045",$201.09M,Lech Majewski,"Josh Hartnett, Jaime Ray Newman, John Malkovich, John Rhys-Davies"
73.,Us,A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them.,116,"Horror, Mystery, Thriller",6.9,81.0,"25,396",$1.23M,Jordan Peele,"Lupita Nyong'o, Winston Duke, Elisabeth Moss, Tim Heidecker"
74.,Yesterday,A struggling musician realizes he's the only person on Earth who can remember The Beatles after waking up in an alternate timeline where they never existed.,116,"Comedy, Fantasy, Music",6.8,55.0,"99,980",$103.80M,Danny Boyle,"Himesh Patel, Lily James, Sophia Di Martino, Ellise Chappell"
75.,Dark Waters,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.,126,"Biography, Drama, History",7.6,73.0,"12,497",,Todd Haynes,"Mark Ruffalo, Anne Hathaway, Tim Robbins, Bill Pullman"
76.,Shazam!,A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,132,"Action, Adventure, Comedy",7.1,71.0,"49,095",$15.77M,David F. Sandberg,"Zachary Levi, Mark Strong, Asher Angel, Jack Dylan Grazer"
77.,Murder Mystery,"A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire.",97,"Action, Comedy, Crime",6.0,38.0,"93,873",$40.83M,Kyle Newacheck,"Adam Sandler, Jennifer Aniston, Luke Evans, Terence Stamp"
78.,The Goldfinch,A boy in New York is taken in by a wealthy Upper East Side family after his mother is killed in a bombing at the Metropolitan Museum of Art.,149,Drama,6.3,40.0,"25,427",$4.33M,John Crowley,"Oakes Fegley, Ansel Elgort, Nicole Kidman, Jeffrey Wright"
79.,Crawl,"A young woman, while attempting to save her father during a category 5 hurricane, finds herself trapped in a flooding house and must fight for her life against alligators.",87,"Action, Drama, Horror",6.2,60.0,490,,Alexandre Aja,"Kaya Scodelario, Barry Pepper, Morfydd Clark, Ross Anderson"
80.,The King,"Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past life.",140,"Biography, Drama, History",7.2,62.0,"32,753",$50.32M,David Michôd,"Tom Glynn-Carney, Gábor Czap, Tom Fisher, Edward Ashley"
81.,Angel Has Fallen,Mike Banning is framed for the attempted assassination of the President and must evade his own agency and the FBI as he tries to uncover the real threat.,121,"Action, Thriller",6.4,45.0,"13,040",$4.34M,Ric Roman Waugh,"Gerard Butler, Frederick Schmidt, Danny Huston, Rocci Williams"
82.,The Peanut Butter Falcon,Zak runs away from his care home to make his dream of becoming a wrestler come true.,97,"Comedy, Drama",7.6,70.0,"41,495",$6.71M,"Tyler Nilson, ","Zack Gottsagen, Ann Owens, Dakota Johnson, Bruce Dern"
83.,Anna,Beneath Anna Poliatova's striking beauty lies a secret that will unleash her indelible strength and skill to become one of the world's most feared government assassins.,118,"Action, Thriller",6.6,40.0,"17,095",$0.39M,Luc Besson,"Sasha Luss, Helen Mirren, Luke Evans, Cillian Murphy"
84.,Maleficent: Mistress of Evil,"Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies and dark new forces at play.",119,"Adventure, Family, Fantasy",6.6,43.0,"47,640",$7.65M,Joachim Rønning,"Angelina Jolie, Elle Fanning, Harris Dickinson, Michelle Pfeiffer"
85.,Richard Jewell,"American security guard Richard Jewell saves many lives from an exploding bomb at the 1996 Olympics, but is vilified by journalists and the press who falsely reported that he was a terrorist.",131,"Biography, Crime, Drama",7.5,68.0,"31,204",,Clint Eastwood,"Paul Walter Hauser, Sam Rockwell, Brandon Stanley, Ryan Boz"
86.,Just Mercy,World-renowned civil rights defense attorney Bryan Stevenson works to free a wrongly condemned death row prisoner.,137,"Biography, Crime, Drama",7.6,68.0,"29,996",$0.05M,Destin Daniel Cretton,"Michael B. Jordan, Jamie Foxx, Brie Larson, Charlie Pye Jr."
87.,El Camino: A Breaking Bad Movie,"El Camino: A Breaking Bad Movie follows fugitive Jesse Pinkman as he runs from his captors, the law and his past.",122,"Action, Crime, Drama",7.3,72.0,"28,374",$29.72M,Vince Gilligan,"Aaron Paul, Jonathan Banks, Matt Jones, Charles Baker"
88.,Pinocchio,Live-action adaptation of the classic story of a wooden puppet named Pinocchio who comes to life.,125,"Drama, Fantasy",6.4,,"39,851",,Matteo Garrone,"Federico Ielapi, Roberto Benigni, Rocco Papaleo, Massimo Ceccherini"
89.,Godzilla: King of the Monsters,"The crypto-zoological agency Monarch faces off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah.",132,"Action, Adventure, Fantasy",6.0,48.0,"65,146",$33.56M,Michael Dougherty,"Kyle Chandler, Vera Farmiga, Millie Bobby Brown, Ken Watanabe"
90.,Wasp Network,The story of five Cuban political prisoners who had been imprisoned by the United States since the late 1990s on charges of espionage and murder.,127,"Crime, Drama, Thriller",5.8,54.0,"56,196",,Olivier Assayas,"Penélope Cruz, Edgar Ramírez, Gael García Bernal, Ana de Armas"
