rank,title,description,runtime(min),genre,rating,metascore,votes,gross,director,actors
39.,The Assistant,"A searing look at a day in the life of an assistant to a powerful executive. As Jane follows her daily routine, she grows increasingly aware of the insidious abuse that threatens every aspect of her position.",87,Drama,6.1,79.0,"74,825",$120.63M,Kitty Green,"Julia Garner, Owen Holland, Jon Orsini, Rory Kulz"
40.,Good Boys,"Three 6th grade boys ditch school and embark on an epic journey while carrying accidentally stolen drugs, being hunted by teenage girls, and trying to make their way home in time for a long-awaited party.",90,"Adventure, Comedy",6.7,60.0,"2,367",$17.52M,Gene Stupnitsky,"Jacob Tremblay, Keith L. Williams, Brady Noon, Molly Gordon"
41.,Portrait de la jeune fille en feu,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",122,"Drama, Romance",8.1,95.0,"162,368",$34.37M,Céline Sciamma,"Noémie Merlant, Adèle Haenel, Luàna Bajrami, Valeria Golino"
42.,Zombieland: Double Tap,"Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family.",99,"Action, Adventure, Comedy",6.7,55.0,"158,475",$46.87M,Ruben Fleischer,"Woody Harrelson, Jesse Eisenberg, Emma Stone, Abigail Breslin"
43.,Gemini Man,An over-the-hill hitman faces off against a younger clone of himself.,117,"Action, Drama, Sci-Fi",5.7,38.0,"237,944",$608.58M,Ang Lee,"Will Smith, Mary Elizabeth Winstead, Clive Owen, Benedict Wong"
44.,Rocketman,A musical fantasy about the fantastical human story of Elton John's breakthrough years.,121,"Biography, Drama, Music",7.3,69.0,"112,088",$51.02M,Dexter Fletcher,"Taron Egerton, Jamie Bell, Richard Madden, Bryce Dallas Howard"
45.,How to Build a Girl,"A teenager living with her working-class family on a council estate in Wolverhampton, England, grows up to become a popular but conflicted music journalist.",102,Comedy,5.8,70.0,"143,197",$11.98M,Coky Giedroyc,"Beanie Feldstein, Cleo, Dónal Finn, Paddy Considine"
46.,Harriet,"The extraordinary tale of Harriet Tubman's escape from slavery and transformation into one of America's greatest heroes, whose courage, ingenuity, and tenacity freed hundreds of slaves and changed the course of history.",125,"Action, Biography, Drama",6.5,66.0,"53,802",$0.09M,Kasi Lemmons,"Cynthia Erivo, Janelle Monáe, Leslie Odom Jr., Joe Alwyn"
47.,Spider-Man: Far from Home,"Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.",129,"Action, Adventure, Sci-Fi",7.5,69.0,"75,487",$67.36M,Jon Watts,"Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei"
48.,Alita: Battle Angel,"A deactivated cyborg is revived, but cannot remember anything of her past life and goes on a quest to find out who she is.",122,"Action, Adventure, Sci-Fi",7.3,53.0,"113,855",,Robert Rodriguez,"Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali"
49.,Swallow,"Hunter, a newly pregnant housewife, finds herself increasingly compelled to consume dangerous objects. As her husband and his family tighten their control over her life, she must confront the dark secret behind her new obsession.",94,"Drama, Thriller",6.4,65.0,"53,646",$167.51M,Carlo Mirabella-Davis,"Haley Bennett, Austin Stowell, Denis O'Hare, Elizabeth Marvel"
