rank,title,description,runtime,genre,rating,metascore,votes,gross,director,actors
23.,Searching,"After his 16-year-old daughter goes missing, a desperate father breaks into her laptop to look for clues to find her.",102 min,"Drama, Mystery, Thriller",7.6,71.0,"129,516",$26.02M,Aneesh Chaganty,"John Cho, Debra Messing, Joseph Lee, Michelle La"
24.,A Star Is Born,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,136 min,"Drama, Music, Romance",7.7,88.0,"315,541",$215.29M,Bradley Cooper,"Lady Gaga, Bradley Cooper, Sam Elliott, Greg Grunberg"
25.,Ocean's Eight,Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's yearly Met Gala.,110 min,"Action, Comedy, Crime",6.2,61.0,"175,057",$140.22M,Gary Ross,"Sandra Bullock, Cate Blanchett, Anne Hathaway, Mindy Kaling"
26.,Slender Man,"In a small town in Massachusetts, a group of friends, fascinated by the internet lore of the Slender Man, attempt to prove that he doesn't actually exist - until one of them mysteriously goes missing.",93 min,"Horror, Mystery, Thriller",3.2,30.0,"26,386",$30.57M,Sylvain White,"Joey King, Julia Goldani Telles, Jaz Sinclair, Annalise Basso"
27.,A Quiet Place,"In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing.",90 min,"Drama, Horror, Sci-Fi",7.5,82.0,"388,679",$188.02M,John Krasinski,"Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe"
28.,The Meg,A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed - the Megalodon.,113 min,"Action, Horror, Sci-Fi",5.6,46.0,"141,502",$143.01M,Jon Turteltaub,"Jason Statham, Bingbing Li, Rainn Wilson, Cliff Curtis"
29.,Annihilation,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.",115 min,"Adventure, Drama, Horror",6.9,79.0,"269,587",$32.73M,Alex Garland,"Natalie Portman, Jennifer Jason Leigh, Tessa Thompson, Benedict Wong"
30.,Bird Box,"Five years after an ominous unseen presence drives most of society to suicide, a mother and her two children make a desperate bid to reach safety.",124 min,"Drama, Horror, Sci-Fi",6.6,51.0,"264,767",,Susanne Bier,"Sandra Bullock, Trevante Rhodes, John Malkovich, Sarah Paulson"
31.,Ant-Man and the Wasp,"As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",118 min,"Action, Adventure, Comedy",7.1,70.0,"293,141",$216.65M,Peyton Reed,"Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins"
32.,Jurassic World: Fallen Kingdom,"When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",128 min,"Action, Adventure, Sci-Fi",6.2,51.0,"254,813",$417.72M,J.A. Bayona,"Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith"
33.,Sicario: Day of the Soldado,"The drug war on the U.S.-Mexico border has escalated as the cartels have begun trafficking terrorists across the US border. To fight the war, federal agent Matt Graver re-teams with the mercurial Alejandro.",122 min,"Action, Adventure, Crime",7.1,61.0,"118,651",$50.07M,Stefano Sollima,"Benicio Del Toro, Josh Brolin, Isabela Merced, Jeffrey Donovan"
34.,Mary Poppins Returns,"A few decades after her original visit, Mary Poppins, the magical nanny, returns to help the Banks siblings and Michael's children through a difficult time in their lives.",130 min,"Comedy, Family, Fantasy",6.7,66.0,"72,938",$171.96M,Rob Marshall,"Emily Blunt, Lin-Manuel Miranda, Ben Whishaw, Emily Mortimer"
35.,The Equalizer 2,"Robert McCall serves an unflinching justice for the exploited and oppressed, but how far will he go when that is someone he loves?",121 min,"Action, Crime, Thriller",6.7,50.0,"124,203",$102.08M,Antoine Fuqua,"Denzel Washington, Pedro Pascal, Ashton Sanders, Orson Bean"
36.,Suspiria,"A darkness swirls at the center of a world-renowned dance company, one that will engulf the artistic director, an ambitious young dancer, and a grieving psychotherapist. Some will succumb to the nightmare. Others will finally wake up.",152 min,"Fantasy, Horror, Mystery",6.8,64.0,"56,280",$2.47M,Luca Guadagnino,"Chloë Grace Moretz, Tilda Swinton, Doris Hick, Malgorzata Bela"
37.,To All the Boys I've Loved Before,A teenage girl's secret love letters are exposed and wreak havoc on her love life.,99 min,"Comedy, Drama, Romance",7.1,64.0,"80,905",,Susan Johnson,"Lana Condor, Noah Centineo, Janel Parrish, Anna Cathcart"
38.,The Nun,A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.,96 min,"Horror, Mystery, Thriller",5.3,46.0,"111,562",$117.45M,Corin Hardy,"Demián Bichir, Taissa Farmiga, Jonas Bloquet, Bonnie Aarons"
39.,Mamma Mia! Here We Go Again,"Five years after the events of Mamma Mia! (2008), Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past.",114 min,"Comedy, Musical, Romance",6.7,60.0,"74,825",$120.63M,Ol Parker,"Lily James, Amanda Seyfried, Meryl Streep, Cher"
40.,Summer '03,A 16-year-old girl and her extended family are left reeling after her calculating grandmother unveils an array of secrets on her deathbed.,95 min,"Comedy, Drama, Romance",5.4,45.0,"2,367",$17.52M,Becca Gleason,"Joey King, Paul Scheer, Andrea Savage, Jack Kilmer"
41.,The Favourite,"In early 18th century England, a frail Queen Anne occupies the throne and her close friend, Lady Sarah, governs the country in her stead. When a new servant, Abigail, arrives, her charm endears her to Sarah.",119 min,"Biography, Comedy, Drama",7.5,91.0,"162,368",$34.37M,Yorgos Lanthimos,"Olivia Colman, Emma Stone, Rachel Weisz, Nicholas Hoult"
42.,Red Sparrow,"Ballerina Dominika Egorova is recruited to 'Sparrow School,' a Russian intelligence service where she is forced to use her body as a weapon. Her first mission, targeting a C.I.A. agent, threatens to unravel the security of both nations.",140 min,"Action, Drama, Thriller",6.6,53.0,"158,475",$46.87M,Francis Lawrence,"Jennifer Lawrence, Joel Edgerton, Matthias Schoenaerts, Charlotte Rampling"
43.,Incredibles 2,"The Incredibles hero family takes on a new mission, which involves a change in family roles: Bob Parr (Mr Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.",118 min,"Animation, Action, Adventure",7.6,80.0,"237,944",$608.58M,Brad Bird,"Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner"
44.,The Predator,"When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race.",107 min,"Action, Adventure, Sci-Fi",5.4,48.0,"112,088",$51.02M,Shane Black,"Boyd Holbrook, Trevante Rhodes, Jacob Tremblay, Keegan-Michael Key"
45.,Upgrade,"Set in the near-future, technology controls nearly all aspects of life. But when the world of Grey, a self-labeled technophobe, is turned upside down, his only hope for revenge is an experimental computer chip implant.",100 min,"Action, Sci-Fi, Thriller",7.5,67.0,"143,197",$11.98M,Leigh Whannell,"Logan Marshall-Green, Melanie Vallejo, Steve Danielsen, Abby Craden"
46.,The House That Jack Built,"The story follows Jack, a highly intelligent serial killer, over the course of twelve years, and depicts the murders that really develop his inner madman.",152 min,"Crime, Drama, Horror",6.8,42.0,"53,802",$0.09M,Lars von Trier,"Matt Dillon, Bruno Ganz, Uma Thurman, Siobhan Fallon Hogan"
47.,Instant Family,A couple find themselves in over their heads when they foster three children.,118 min,"Comedy, Drama",7.3,57.0,"75,487",$67.36M,Sean Anders,"Mark Wahlberg, Rose Byrne, Isabela Merced, Gustavo Escobar"
48.,The Ballad of Buster Scruggs,"Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters.",133 min,"Comedy, Drama, Musical",7.3,79.0,"113,855",,"Ethan Coen, ","Tim Blake Nelson, Willie Watson, Clancy Brown, Danny McCarthy"
49.,Hotel Transylvania 3: Summer Vacation,"Count Dracula and company participate in a cruise for sea-loving monsters, unaware that their boat is being commandeered by the monster-hating Van Helsing family.",97 min,"Animation, Adventure, Comedy",6.3,54.0,"53,646",$167.51M,Genndy Tartakovsky,"Adam Sandler, Andy Samberg, Selena Gomez, Kevin James"
50.,Bumblebee,"On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small California beach town. On the cusp of turning 18 and trying to find her place in the world, Charlie Watson discovers Bumblebee, battle-scarred and broken.",114 min,"Action, Adventure, Sci-Fi",6.8,66.0,"129,689",$127.20M,Travis Knight,"Hailee Steinfeld, Jorge Lendeborg Jr., John Cena, Jason Drucker"
51.,Tomb Raider,"Lara Croft (Alicia Vikander), the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she discovers the island where her father, Lord Richard Croft (Dominic West) disappeared.",119 min,"Action, Adventure, Fantasy",6.3,48.0,"184,835",$58.25M,Roar Uthaug,"Alicia Vikander, Dominic West, Walton Goggins, Daniel Wu"
52.,Climax,"French dancers gather in a remote, empty school building to rehearse on a wintry night. The all-night celebration morphs into a hallucinatory nightmare when they learn their sangria is laced with LSD.",97 min,"Drama, Horror, Music",7.1,67.0,"46,255",$0.80M,Gaspar Noé,"Sofia Boutella, Romain Guillermic, Souheila Yacoub, Kiddy Smile"
53.,Vice,"The story of Dick Cheney, an unassuming bureaucratic Washington insider, who quietly wielded immense power as Vice President to George W. Bush, reshaping the country and the globe in ways that we still feel today.",132 min,"Biography, Comedy, Drama",7.2,61.0,"111,663",$47.84M,Adam McKay,"Christian Bale, Amy Adams, Steve Carell, Sam Rockwell"
54.,Freaks,"A bold girl discovers a bizarre, threatening, and mysterious new world beyond her front door after she escapes her father's protective and paranoid control.",105 min,"Drama, Mystery, Sci-Fi",6.7,63.0,"22,717",,"Zach Lipovsky, ","Emile Hirsch, Bruce Dern, Grace Park, Amanda Crew"
55.,Capharnaüm,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",126 min,Drama,8.4,75.0,"51,925",$1.66M,Nadine Labaki,"Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole, Kawsar Al Haddad"
56.,Mandy,"The enchanted lives of a couple in a secluded forest are brutally shattered by a nightmarish hippie cult and their demon-biker henchmen, propelling a man into a spiraling, surreal rampage of vengeance.",121 min,"Action, Fantasy, Horror",6.6,81.0,"58,993",$1.21M,Panos Cosmatos,"Nicolas Cage, Andrea Riseborough, Linus Roache, Ned Dennehy"
57.,Bad Times at the El Royale,"Early 1970s. Four strangers check in at the El Royale Hotel. The hotel is deserted, staffed by a single desk clerk. Some of the new guests' reasons for being there are less than innocent and some are not who they appear to be.",141 min,"Crime, Drama, Mystery",7.1,60.0,"122,402",$17.84M,Drew Goddard,"Jeff Bridges, Cynthia Erivo, Dakota Johnson, Jon Hamm"
58.,First Man,"A look at the life of the astronaut, Neil Armstrong, and the legendary space mission that led him to become the first man to walk on the Moon on July 20, 1969.",141 min,"Biography, Drama, History",7.3,84.0,"157,521",$44.94M,Damien Chazelle,"Ryan Gosling, Claire Foy, Jason Clarke, Kyle Chandler"
59.,Overlord,A small group of American soldiers find horror behind enemy lines on the eve of D-Day.,110 min,"Action, Adventure, Horror",6.6,60.0,"79,908",$21.70M,Julius Avery,"Jovan Adepo, Wyatt Russell, Mathilde Ollivier, Pilou Asbæk"
60.,Kedarnath,"A Hindu-Muslim love story, Kedarnath portrays how a Muslim pithoo saves a Hindu tourist from the Uttrakhand floods at the pilgrimage, and the love that eventually develops between them.",116 min,"Drama, Romance",6.5,,"7,881",$0.90M,Abhishek Kapoor,"Sushant Singh Rajput, Sara Ali Khan, Nitish Bharadwaj, Alka Amin"
61.,Alpha,"In the prehistoric past, a young man struggles to return home after being separated from his tribe during a buffalo hunt. He finds a similarly lost wolf companion and starts a friendship that would change humanity.",96 min,"Action, Adventure, Drama",6.7,63.0,"51,993",$35.85M,Albert Hughes,"Kodi Smit-McPhee, Jóhannes Haukur Jóhannesson, Marcin Kowalczyk, Jens Hultén"
62.,Mid90s,"Follows Stevie, a thirteen-year-old in 1990s-era Los Angeles who spends his summer navigating between his troubled home life and a group of new friends that he meets at a Motor Avenue skate shop.",85 min,"Comedy, Drama",7.4,66.0,"43,470",$7.36M,Jonah Hill,"Sunny Suljic, Katherine Waterston, Lucas Hedges, Na-kel Smith"
63.,The Professor,A college professor lives his life with reckless abandon after being diagnosed with a terminal illness.,90 min,"Comedy, Drama",6.7,37.0,"20,346",,Wayne Roberts,"Johnny Depp, Rosemarie DeWitt, Odessa Young, Danny Huston"
64.,Den of Thieves,An elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew clash as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.,140 min,"Action, Crime, Drama",7.0,49.0,"88,029",$44.95M,Christian Gudegast,"Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr., 50 Cent"
65.,Siberia,"When an American diamond trader's Russian partner goes missing, he journeys to Siberia in search of him, but instead begins a love affair.",104 min,"Crime, Romance, Thriller",4.3,34.0,"11,527",,Matthew Ross,"Keanu Reeves, Boris Gulyarin, Ashley St. George, Elliot Lazar"
66.,Truth or Dare,A harmless game of Truth or Dare among friends turns deadly when someone - or something - begins to punish those who tell a lie or refuse the dare.,100 min,"Horror, Thriller",5.2,35.0,"44,372",$41.41M,Jeff Wadlow,"Lucy Hale, Tyler Posey, Violett Beane, Hayden Szeto"
67.,Sorry to Bother You,"In an alternate present-day version of Oakland, telemarketer Cassius Green discovers a magical key to professional success, propelling him into a universe of greed.",112 min,"Comedy, Fantasy, Sci-Fi",6.9,80.0,"56,881",$17.49M,Boots Riley,"LaKeith Stanfield, Tessa Thompson, Jermaine Fowler, Omari Hardwick"
68.,Halloween,"Laurie Strode confronts her long-time foe Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago.",106 min,"Crime, Horror, Thriller",6.6,67.0,"111,613",$159.34M,David Gordon Green,"Jamie Lee Curtis, Judy Greer, Andi Matichak, James Jude Courtney"
69.,Widows,"Set in contemporary Chicago, amid a time of turmoil, four women with nothing in common except a debt left behind by their dead husbands' criminal activities, take fate into their own hands, and conspire to forge a future on their own terms.",129 min,"Crime, Drama, Thriller",6.9,84.0,"81,926",$42.40M,Steve McQueen,"    Stars:Viola Davis, Michelle Rodriguez, Elizabeth Debicki"
70.,Fifty Shades Freed,"Anastasia and Christian get married, but Jack Hyde continues to threaten their relationship.",105 min,"Drama, Romance, Thriller",4.5,31.0,"52,776",$100.41M,James Foley,"Dakota Johnson, Jamie Dornan, Eric Johnson, Eloise Mumford"
71.,Zimna wojna,"In the 1950s, a music director falls in love with a singer and tries to persuade her to flee communist Poland for France.",89 min,"Drama, History, Music",7.6,90.0,"45,382",$4.57M,Pawel Pawlikowski,"Joanna Kulig, Tomasz Kot, Borys Szyc, Agata Kulesza"
72.,Ralph Breaks the Internet,"Six years after the events of ""Wreck-It Ralph,"" Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure.",112 min,"Animation, Adventure, Comedy",7.1,71.0,"123,045",$201.09M,"Phil Johnston, ","John C. Reilly, Sarah Silverman, Gal Gadot, Taraji P. Henson"
73.,High Life,A father and his daughter struggle to survive in deep space where they live in isolation.,113 min,"Adventure, Drama, Horror",5.8,77.0,"25,396",$1.23M,Claire Denis,"Robert Pattinson, Juliette Binoche, André Benjamin, Mia Goth"
74.,The Mule,A ninety-year-old horticulturist and Korean War veteran turns drug mule for a Mexican cartel.,116 min,"Crime, Drama, Thriller",7.0,58.0,"99,980",$103.80M,Clint Eastwood,"Clint Eastwood, Patrick L. Reyes, Cesar De León, Gustavo Muñoz"
75.,Nomis,"A weathered Lieutenant, his police force, and a local vigilante are all caught up in a dangerous scheme involving a recently arrested, troubled man who's linked to years of female abductions and murders.",98 min,"Action, Crime, Drama",5.9,31.0,"12,497",,David Raymond,"Henry Cavill, Ben Kingsley, Alexandra Daddario, Stanley Tucci"
76.,Hunter Killer,"An untested American submarine captain teams with U.S. Navy Seals to rescue the Russian president, who has been kidnapped by a rogue general.",121 min,"Action, Thriller",6.6,43.0,"49,095",$15.77M,Donovan Marsh,"Gerard Butler, Gary Oldman, Common, Linda Cardellini"
77.,"Love, Simon","Simon Spier keeps a huge secret from his family, his friends and all of his classmates: he's gay. When that secret is threatened, Simon must face everyone and come to terms with his identity.",110 min,"Comedy, Drama, Romance",7.6,72.0,"93,873",$40.83M,Greg Berlanti,"Nick Robinson, Jennifer Garner, Josh Duhamel, Katherine Langford"
78.,Blindspotting,"While on probation, a man begins to re-evaluate his relationship with his volatile best friend.",95 min,"Comedy, Crime, Drama",7.4,77.0,"25,427",$4.33M,Carlos López Estrada,"Daveed Diggs, Rafael Casal, Janina Gavankar, Jasmine Cephas Jones"
79.,Open 24 Hours,"After setting her serial killer boyfriend on fire, a paranoid delusional woman gets a job at an all-night gas station.",102 min,Horror,5.3,,490,,Padraig Reynolds,"Vanessa Grasse, Brendan Fletcher, Emily Tennant, Cole Vigue"
80.,Overboard,"After a spoiled, wealthy yacht owner is thrown overboard and loses his memory, a mistreated employee convinces him that he is her working-class husband.",112 min,"Comedy, Romance",6.0,42.0,"32,753",$50.32M,Rob Greenberg,"Eugenio Derbez, Anna Faris, Eva Longoria, John Hannah"
81.,Gotti,The story of crime boss John Gotti and his son.,112 min,"Biography, Crime, Drama",4.8,24.0,"13,040",$4.34M,Kevin Connolly,"John Travolta, Spencer Rocco Lofranco, Kelly Preston, Stacy Keach"
82.,Hotel Artemis,"Set in riot-torn, near-future Los Angeles, 'Hotel Artemis' follows the Nurse, who runs a secret, members-only emergency room for criminals.",94 min,"Action, Crime, Drama",6.1,58.0,"41,495",$6.71M,Drew Pearce,"Jodie Foster, Sofia Boutella, Dave Bautista, Sterling K. Brown"
83.,The Nightingale,"Set in 1825, Clare, a young Irish convict woman, chases a British officer through the rugged Tasmanian wilderness, bent on revenge for a terrible act of violence he committed against her family. On the way she enlists the services of an Aboriginal tracker named Billy, who is also marked by trauma from his own violence-filled past.",136 min,"Adventure, Drama, Thriller",7.3,77.0,"17,095",$0.39M,Jennifer Kent,"Aisling Franciosi, Michael Sheasby, Maya Christie, Addison Christie"
84.,Beautiful Boy,"Based on the best-selling pair of memoirs from father and son David and Nic Sheff, Beautiful Boy chronicles the heartbreaking and inspiring experience of survival, relapse and recovery in a family coping with addiction over many years.",120 min,"Biography, Drama",7.3,62.0,"47,640",$7.65M,Felix van Groeningen,"Steve Carell, Maura Tierney, Jack Dylan Grazer, Oakley Bull"
85.,The Guernsey Literary and Potato Peel Pie Society,"In the aftermath of World War II, a writer forms an unexpected bond with the residents of Guernsey Island when she decides to write a book about their experiences during the war.",124 min,"Drama, Romance, War",7.4,65.0,"31,204",,Mike Newell,"Jessica Brown Findlay, Tom Courtenay, Michiel Huisman, Katherine Parkinson"
86.,Under the Silver Lake,"Sam, a disenchanted young man, finds a mysterious woman swimming in his apartment's pool one night. The next morning, she disappears. Sam sets off across LA to find her, and along the way he uncovers a conspiracy far more bizarre.",139 min,"Crime, Drama, Mystery",6.5,60.0,"29,996",$0.05M,David Robert Mitchell,"Andrew Garfield, Riley Keough, Topher Grace, Callie Hernandez"
87.,The Hate U Give,"Starr witnesses the fatal shooting of her childhood best friend Khalil at the hands of a police officer. Now, facing pressure from all sides of the community, Starr must find her voice and stand up for what's right.",133 min,"Crime, Drama",7.4,81.0,"28,374",$29.72M,George Tillman Jr.,"Amandla Stenberg, Regina Hall, Russell Hornsby, Anthony Mackie"
88.,Apostle,"In 1905, a drifter on a dangerous mission to rescue his kidnapped sister tangles with a sinister religious cult on an isolated island.",130 min,"Drama, Fantasy, Horror",6.3,62.0,"39,851",,Gareth Evans,"Dan Stevens, Richard Elfyn, Paul Higgins, Bill Milner"
89.,The Spy Who Dumped Me,Audrey and Morgan are best friends who unwittingly become entangled in an international conspiracy when one of the women discovers the boyfriend who dumped her was actually a spy.,117 min,"Action, Adventure, Comedy",6.0,52.0,"65,146",$33.56M,Susanna Fogel,"Justin Theroux, Blanka Györfi-Tóth, Vilma Szécsi, Mila Kunis"
90.,Outlaw King,A true David vs. Goliath story of how the 14th century Scottish 'Outlaw King' Robert the Bruce used cunning and bravery to defeat the much larger and better equipped occupying English army.,121 min,"Action, Biography, Drama",6.9,59.0,"56,196",,David Mackenzie,"Chris Pine, Stephen Dillane, Rebecca Robin, Billy Howle"
91.,Robin Hood,A war-hardened Crusader and his Moorish commander mount an audacious revolt against the corrupt English crown.,116 min,"Action, Adventure, Drama",5.3,32.0,"60,044",$30.82M,Otto Bathurst,"Taron Egerton, Jamie Foxx, Ben Mendelsohn, Eve Hewson"
92.,Winchester,"Ensconced in her sprawling San Jose, California mansion, eccentric firearm heiress Sarah Winchester (Dame Helen Mirren) believes she is haunted by the souls of people killed by the Winchester repeating rifle.",99 min,"Biography, Drama, Fantasy",5.4,28.0,"28,929",$25.09M,"Michael Spierig, ","Helen Mirren, Sarah Snook, Finn Scicluna-O'Prey, Jason Clarke"
93.,Tijuana Jackson: Purpose Over Prison,An ex convict on parole is set on becoming a world renowned motivational speaker.,93 min,Comedy,5.8,,291,,Romany Malco,"Romany Malco, Regina Hall, Alkoya Brunson, Tami Roman"
