rank,title,description,runtime,genre,rating,metascore,votes,gross,director,actors
1.,The Kissing Booth,A high school student is forced to confront her secret crush at a kissing booth.,105 min,"Comedy, Romance",6.0,,"58,801",,Vince Marcello,"Joey King, Jacob Elordi, Joel Courtney, Megan du Plessis"
2.,MILF,Three best friends in their forties start a relationship with younger men while on vacation.,101 min,Comedy,4.7,,"2,761",,Axelle Laffont,"Marie-Josée Croze, Virginie Ledoyen, Axelle Laffont, Waël Sersoub"
3.,Solo: A Star Wars Story,"During an adventure into the criminal underworld, Han Solo meets his future co-pilot Chewbacca and encounters Lando Calrissian years before joining the Rebellion.",135 min,"Action, Adventure, Sci-Fi",6.9,62.0,"276,076",$213.77M,Ron Howard,"Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover"
4.,BlacKkKlansman,"Ron Stallworth, an African American police officer from Colorado Springs, CO, successfully manages to infiltrate the local Ku Klux Klan branch with the help of a Jewish surrogate who eventually becomes its leader. Based on actual events.",135 min,"Biography, Crime, Drama",7.5,83.0,"203,102",$49.28M,Spike Lee,"John David Washington, Adam Driver, Laura Harrier, Topher Grace"
5.,Mortal Engines,"In a post-apocalyptic world where cities ride on wheels and consume each other to survive, two people meet in London and try to stop a conspiracy.",128 min,"Action, Adventure, Fantasy",6.1,44.0,"97,834",$15.95M,Christian Rivers,"Hera Hilmar, Robert Sheehan, Hugo Weaving, Jihae"
6.,Ready Player One,"When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.",140 min,"Action, Adventure, Sci-Fi",7.5,64.0,"351,616",$137.69M,Steven Spielberg,"Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Lena Waithe"
7.,Hereditary,A grieving family is haunted by tragic and disturbing occurrences.,127 min,"Drama, Horror, Mystery",7.3,87.0,"218,408",$44.07M,Ari Aster,"Toni Collette, Milly Shapiro, Gabriel Byrne, Alex Wolff"
8.,Aquaman,"Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",143 min,"Action, Adventure, Fantasy",7.0,55.0,"345,067",$335.06M,James Wan,"Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson"
9.,Avengers: Infinity War,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,149 min,"Action, Adventure, Sci-Fi",8.4,68.0,"790,967",$678.82M,"Anthony Russo, ","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans"
10.,Mission: Impossible - Fallout,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",147 min,"Action, Adventure, Thriller",7.7,86.0,"279,047",$220.16M,Christopher McQuarrie,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg"
11.,Spider-Man: Into the Spider-Verse,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",117 min,"Animation, Action, Adventure",8.4,87.0,"331,315",$190.24M,"Bob Persichetti, ","Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali"
12.,Banana Split,"Over the course of a summer, two teenage girls develop the perfect kindred spirit friendship, with one big problem: one of them is dating the other's ex.",88 min,Comedy,6.2,63.0,"1,342",,Benjamin Kasulke,"Hannah Marks, Liana Liberato, Dylan Sprouse, Luke Spencer Roberts"
13.,Black Panther,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",134 min,"Action, Adventure, Sci-Fi",7.3,88.0,"590,692",$700.06M,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira"
14.,Fantastic Beasts: The Crimes of Grindelwald,"The second installment of the ""Fantastic Beasts"" series featuring the adventures of Magizoologist Newt Scamander.",134 min,"Adventure, Family, Fantasy",6.6,52.0,"207,882",$159.56M,David Yates,"Eddie Redmayne, Katherine Waterston, Dan Fogler, Johnny Depp"
15.,Deadpool 2,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",119 min,"Action, Adventure, Comedy",7.7,66.0,"458,004",$324.59M,David Leitch,"Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison"
16.,A Simple Favor,"Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate.",117 min,"Comedy, Crime, Drama",6.8,67.0,"117,937",$53.55M,Paul Feig,"Anna Kendrick, Blake Lively, Henry Golding, Andrew Rannells"
17.,Bohemian Rhapsody,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",134 min,"Biography, Drama, Music",8.0,49.0,"431,191",$216.43M,Bryan Singer,"Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy"
18.,Venom,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",112 min,"Action, Adventure, Sci-Fi",6.7,35.0,"339,044",$213.52M,Ruben Fleischer,"Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze"
19.,Green Book,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,130 min,"Biography, Comedy, Drama",8.2,69.0,"337,220",$85.08M,Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco"
20.,Tag,"A small group of former classmates organize an elaborate, annual game of tag that requires some to travel all over the country.",100 min,Comedy,6.5,56.0,"107,979",$54.55M,Jeff Tomsic,"Jeremy Renner, Ed Helms, Jake Johnson, Jon Hamm"
21.,Crazy Rich Asians,"This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.",120 min,"Comedy, Drama, Romance",6.9,74.0,"131,565",$174.53M,Jon M. Chu,"Constance Wu, Henry Golding, Michelle Yeoh, Gemma Chan"
22.,Game Night,A group of friends who meet regularly for game nights find themselves entangled in a real-life mystery when the shady brother of one of them is seemingly kidnapped by dangerous gangsters.,100 min,"Action, Comedy, Crime",6.9,66.0,"196,595",$69.18M,"John Francis Daley, ","Jason Bateman, Rachel McAdams, Kyle Chandler, Sharon Horgan"
